Country,Continent,Rank,Title,Artists,Collaboration,Collaboration.Type,Album.x,Explicit,Duration,X.,Artist,Popularity,BPM,Genres,Parent.Genres,Album.y,Album.Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time.Signature,Added.At,Spotify.Track.Id,Album.Label,Camelot,Spotify.Track.Img,Song.Preview
Chile,South America,31,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",NO,Duet,Rain On Me (with Ariana Grande),0,3:02,84,"Lady Gaga,Ariana Grande",76,123,"art pop, dance pop, pop",Pop,Chromatica,2020,3:02,67,86,2,0,65,0,30,-4,A Major,4,8/14/2023,7ju97lgwC2rKQ6wwsf9no9,Interscope,11B,,https://i.scdn.co/image/ab67616d000048516040effba89b9b00a6f6743a
Chile,South America,32,Vete,Bad Bunny,NO,Solo,YHLQMDLG,1,3:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,33,Locura,"Cali Y El Dandee, Sebastian Yatra",NO,Duet,Colegio,0,3:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,34,Dance Monkey,Tones And I,YES,Solo,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29,51,Tones And I,77,98,australian pop,Pop,Welcome To The Madhouse (Deluxe),2021,3:29,82,59,69,0,51,0,10,-6,F#/G♭ Minor,4,8/14/2023,2N8m6CYs74qQO4mjVcXO30,Elektra (NEK),11A,https://p.scdn.co/mp3-preview/faad7dce8e7deeb059c7c59645c594c40342812f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518e8197111f9d57793a5e7eff
Chile,South America,34,Dance Monkey,Tones And I,YES,Solo,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29,132,Tones And I,79,98,australian pop,Pop,Dance Monkey (Stripped Back) / Dance Monkey,2019,3:29,82,59,69,0,51,0,10,-6,F#/G♭ Minor,4,8/14/2023,2XU0oxnq2qxCpomAAuJY8K,Elektra (NEK),11A,https://p.scdn.co/mp3-preview/d03d7e46e89547f5a1994483f27e221c8de1f5c5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c6f7af36ecdc3ed6e0a1f169
Chile,South America,35,Morado,J Balvin,YES,Solo,Colores,0,3:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,36,Keii,Anuel AA,NO,Solo,Keii,0,3:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,37,Girl,Myke Towers,NO,Solo,Easy Money Baby,1,3:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,38,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",YES,Group,Modo Avión,1,5:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,39,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",YES,Group,Sigues Con El (Remix),0,3:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,40,BENDICIONES,Bad Bunny,NO,Solo,LAS QUE NO IBAN A SALIR,0,2:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,41,Goteo,Paloma Mami,NO,Solo,Goteo,0,2:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,42,Sola & Vacía,"Casper Magico, Anuel AA",YES,Duet,Sola & Vacía,1,3:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,43,Fantasias,"Rauw Alejandro, Farruko",YES,Duet,Fantasias,0,3:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,44,Amarillo,J Balvin,YES,Solo,Colores,0,2:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,45,Don't Start Now,Dua Lipa,YES,Solo,Future Nostalgia,0,3:03,54,Dua Lipa,84,124,"dance pop, pop, uk pop",Pop,Future Nostalgia,2020,3:03,79,79,1,0,68,0,10,-5,B Minor,4,8/14/2023,3PfIrDoz19wz7qK7tYeu62,Warner Records,10A,https://p.scdn.co/mp3-preview/cfc6684fc467e40bb9c7e6da2ea1b22eeccb211c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bd26ede1ae69327010d49946
Chile,South America,45,Don't Start Now,Dua Lipa,YES,Solo,Future Nostalgia,0,3:03,118,Dua Lipa,79,124,"dance pop, pop, uk pop",Pop,Don't Start Now,2019,3:03,79,79,1,0,68,0,10,-5,B Minor,4,8/14/2023,6WrI0LAC5M1Rw2MnX2ZvEg,Warner Records,10A,https://p.scdn.co/mp3-preview/87258da8a9eb8d0a0d53071e06612955e6d3b28f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518583df1a14bea9175f9ac520
Chile,South America,46,Fantasias - Remix,"Rauw Alejandro, Anuel AA, Natti Natasha, Farruko, Lunay",YES,Group,Fantasias (Remix) [feat. Farruko & Lunay],0,4:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,47,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",NO,Group,Famouz,0,5:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,48,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",YES,Group,Adicto (with Anuel AA & Ozuna),0,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,49,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",YES,Duet,death bed (coffee for your head) (feat. beabadoobee),0,2:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,South America,50,Definitivamente,"Daddy Yankee, Sech",NO,Duet,Definitivamente,0,3:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,1,Rojo,J Balvin,NO,Solo,Colores,0,2:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,2,PORFA,"Feid, Justin Quiles",NO,Duet,FERXXO (VOL 1: M.O.R),0,3:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,3,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",NO,Group,YHLQMDLG,1,4:55,92,"Bad Bunny,Jowell & Randy,Ñengo Flow",79,96,"reggaeton, trap latino, urbano latino",Latin,YHLQMDLG,2020,4:55,61,83,1,0,69,30,10,-4,D Major,4,8/14/2023,2DEZmgHKAvm41k4J3R2E9Y,Rimas Entertainment LLC,10B,https://p.scdn.co/mp3-preview/9a5a46759106c4a952223d007a253474d4b01816?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851548f7ec52da7313de0c5e4a0
Colombia,South America,4,Amarillo,J Balvin,NO,Solo,Colores,0,2:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,5,Yo Perreo Sola,Bad Bunny,YES,Solo,YHLQMDLG,0,2:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,6,Favorito,Camilo,NO,Solo,Por Primera Vez,0,3:29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,7,Tattoo,Rauw Alejandro,YES,Solo,Tattoo,0,3:22,938,Jordin Sparks,60,168,"dance pop, pop, post-teen pop",Pop,Jordin Sparks,2007,3:53,57,77,43,0,55,0,10,-5,D Major,4,8/14/2023,1oi3vkeOGXAd3qljM5o9Oe,19 Recordings,10B,https://p.scdn.co/mp3-preview/f66621e67ea7213bdb828b61b08a01b09ca03d23?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516707d0e5fcaf7aedc5e254fc
Colombia,South America,8,Morado,J Balvin,YES,Solo,Colores,0,3:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,9,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",YES,Group,Elegí (feat. Dímelo Flow),0,3:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,10,Azul,J Balvin,YES,Solo,Colores,0,3:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,11,Bajo La Mesa,"Morat, Sebastian Yatra",NO,Duet,Bajo La Mesa,0,2:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,South America,12,Tusa,"KAROL G, Nicki Minaj",NO,Duet,Tusa,0,3:20,59,"KAROL G,Nicki Minaj",78,101,"reggaeton, reggaeton colombiano, trap latino, urbano latino, hip pop, pop, queens hip hop, rap","Pop, Hip Hop, Latin",Tusa,2019,3:20,80,72,30,0,57,30,0,-3,D Major,4,8/14/2023,7k4t7uLgtOxPwTpFmtJNTY,TUSA - Karol G & Nicki Minaj,10B,,https://i.scdn.co/image/ab67616d00004851ddd3154c58e15a8bdb63bbcc
Colombia,South America,13,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",YES,Group,Hola (Remix),0,4:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
