"track_name","Artist","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","X.","Popularity","BPM","Genres","Parent.Genres","Album","Album.Date","Time","Dance","Energy","Acoustic","Instrumental","Happy","Speech","Live","Loud","Key","Time.Signature","Added.At","Spotify.Track.Id","Album.Label","Camelot","Spotify.Track.Img","Song.Preview","popularity","average_charting"
"Dandelions","Ruth B.",1,2017,4,28,3423,21,"1116995633",41,100,"59",1,"32",117,"C#","Major",61,45,69,2,0,9,3,"33","90","117","alt z, canadian contemporary r&b, canadian pop, pop","Pop, R&B","Safe Haven","2017-05-05","03:53","61","69","2","0","45","0","0","-3","C♯/D♭ Major","3","2023-08-14","2eAvDnpXP5W0cVtiI0PUxV","Columbia","3B","https://p.scdn.co/mp3-preview/3e55602bc286bc1fad9347931327e649ff9adfa1?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485197e971f3e53475091dc8d707","Low Popularity",41
"Set Fire to the Rain","Adele",1,2011,1,1,14739,43,"1163620694",88,112,"2,163",5,"519",108,"D","Minor",61,47,68,0,0,13,3,"782","87","108","british soul, pop, pop soul, uk pop","R&B, Pop","21","2011-01-24","04:02","60","67","0","0","45","0","10","-4","D Minor","4","2023-08-14","3di5hcvxxciiqwMH1jarhY","XL Recordings","7A","https://p.scdn.co/mp3-preview/6fc68c105e091645376471727960d2ba3cd0ee01?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851164feb363334f93b6458d2a9","Low Popularity",53
"Watermelon Sugar","Harry Styles",1,2019,11,17,21915,34,"2322580122",437,115,"1,212",12,"",95,"","Major",55,56,82,12,0,34,5,"43","90","95","pop","Pop","Fine Line","2019-12-13","02:54","55","82","12","0","56","0","30","-4","C Major","4","2023-08-14","6UelLqGlWMcVH1E5c4H7lY","Columbia","8B","https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485177fdcfda6535601aff081b6a","Moderate Popularity",54
"Perfect","Ed Sheeran",1,2017,1,1,16596,13,"2559529074",7,0,"2,094",0,"0",95,"G#","Major",60,17,45,16,0,11,2,"296","90","95","pop, singer-songwriter pop, uk pop","Pop","÷ (Deluxe)","2017-03-03","04:23","60","45","16","0","17","0","10","-6","G#/A♭ Major","3","2023-08-14","0tgVpDi06FyKpA1z0VMD4v","Atlantic Records UK","4B","https://p.scdn.co/mp3-preview/4e30857a3c7da3f8891483643e310bb233afadd2?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96","Moderate Popularity",4
"Believer","Imagine Dragons",1,2017,1,31,18986,23,"2594040133",250,121,"2,969",10,"31",125,"A#","Minor",77,74,78,4,0,23,11,"303","90","125","modern rock, pop, rock","Rock, Pop","Evolve","2017-06-23","03:24","78","78","6","0","67","10","0","-4","A#/B♭ Minor","4","2023-08-14","0pqnGHJpmpxLKifKRmU6WP","Kid Ina Korner / Interscope","3A","","https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a","Moderate Popularity",51
"Without Me","Eminem",1,2002,1,1,21081,43,"1687664027",98,76,"3,889",5,"0",112,"G","Major",92,67,66,0,0,36,9,"1348","90","112","detroit hip hop, hip hop, rap","Hip Hop","The Eminem Show","2002-05-26","04:50","91","67","0","0","66","0","20","-3","G Major","4","2023-08-14","7lQ8MOhq6IN2w8EYcFNSUk","Aftermath","9B","","https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4","Low Popularity",41
"Somewhere Only We Know","Keane",1,2004,1,1,20015,16,"1089402494",107,69,"5,239",0,"558",172,"A","Major",45,33,59,6,0,8,3,"1193","87","172","neo mellow, piano rock, pop rock","Folk/Acoustic, Rock","Hopes And Fears","2004-05-10","03:57","45","67","6","0","30","0","0","-4","A Major","4","2023-08-14","1SKPmfSYaPsETbRHaiA18G","Universal-Island Records Ltd.","11B","","https://i.scdn.co/image/ab67616d000048517d6cd95a046a3c0dacbc7d33","Low Popularity",28
"Counting Stars","OneRepublic",1,2013,1,1,29215,43,"2011464183",179,97,"3,394",11,"153",122,"C#","Minor",66,48,71,6,0,12,4,"517","64","122","piano rock, pop","Rock, Pop","Native","2014-01-01","04:17","66","71","7","0","48","0","10","-5","C♯/D♭ Minor","4","2023-08-14","1QzFhzIOW7CyRJLpmq5CM0","Mosley / Interscope","12A","","https://i.scdn.co/image/ab67616d000048516f91180b662ca15ad2fb88f0","Moderate Popularity",50
"Ghost","Justin Bieber",1,2021,3,19,5866,24,"1167330737",107,38,"95",0,"",154,"D","Major",61,41,74,21,0,40,6,"14","88","154","canadian pop, pop","Pop","Justice","2021-03-19","02:33","60","74","19","0","44","0","40","-6","D Major","4","2023-08-14","6I3mqTwhRpn34SLVafSH7G","RBMG/Def Jam","10B","","https://i.scdn.co/image/ab67616d00004851e6f407c7f3a0ec98845e4431","Low Popularity",21
"Gasolina","Daddy Yankee",1,2004,7,13,6457,18,"657723613",98,95,"453",0,"454",96,"","Major",86,74,80,33,0,8,6,"1219","87","96","latin hip hop, reggaeton, trap latino, urbano latino","Hip Hop, Latin","Barrio Fino (Bonus Track Version)","2004-07-13","03:12","85","80","32","0","74","0","0","-7","C Major","4","2023-08-14","228BxWXUYQPJrJYHDLOHkj","Gasolina Recording Co.","8B","https://p.scdn.co/mp3-preview/7c545be6847f3a6b13c4ad9c70d10a34f49a92d3?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048516bdcdf82ecce36bff808a40c","Moderate Popularity",38
"Sure Thing","Miguel",1,2010,5,25,13801,19,"950906471",137,125,"435",6,"285",81,"B","Minor",68,51,60,3,0,19,10,"812","89","81","r&b","R&B","All I Want Is You","2010-11-26","03:15","68","61","3","0","50","10","10","-8","B Minor","4","2023-08-14","0JXXNGljqupsJaZsgSbMZV","Jive","10A","https://p.scdn.co/mp3-preview/d337faa4bb71c8ac9a13998be64fbb0d7d8b8463?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851d5a8395b0d80b8c48a5d851c","Moderate Popularity",50
"Let Me Down Slowly","Alec Benjamin",1,2018,5,25,5897,19,"1374581173",0,0,"885",0,"0",150,"C#","Minor",65,51,55,73,0,14,3,"124","88","150","alt z, pop, pov: indie","Pop","Narrated For You","2018-11-16","02:49","65","56","74","0","48","0","10","-6","C♯/D♭ Minor","4","2023-08-14","2qxmye6gAegTMjLKEBoR3d","2018","12A","https://p.scdn.co/mp3-preview/19007111a4e21096bcefef77842d7179f0cdf12a?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851459d675aa0b6f3b211357370","Low Popularity",6
"Shake It Off","Taylor Swift",1,2014,1,1,21335,13,"1113838873",328,70,"1,378",9,"20",160,"G","Major",65,95,80,5,0,41,16,"556","87","160","pop","Pop","1989 (Deluxe)","2014-01-01","03:39","65","80","6","0","94","10","30","-5","G Major","4","2023-08-14","0cqRj7pUJDkTCEsJkx8snD","Big Machine Records, LLC","9B","","https://i.scdn.co/image/ab67616d0000485152b2a3824413eefe9e33817a","Low Popularity",31
"Shape of You","Ed Sheeran",1,2017,1,6,32181,10,"3562543890",33,0,"6,808",7,"0",96,"C#","Minor",83,93,65,58,0,9,8,"287","89","96","pop, singer-songwriter pop, uk pop","Pop","÷ (Deluxe)","2017-03-03","03:53","83","65","58","0","93","0","0","-3","C♯/D♭ Minor","4","2023-08-14","7qiZfU4dY1lWllzX7mPBI3","Atlantic Records UK","12A","https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96","Moderate Popularity",6
"Circles","Post Malone",1,2019,8,30,19664,16,"2132335812",391,73,"633",3,"37",120,"","Major",70,59,75,24,0,9,4,"61","89","120","dfw rap, melodic rap, pop, rap","Hip Hop, Pop","Hollywood's Bleeding","2019-09-06","03:35","70","76","19","0","55","0","0","-3","C Major","4","2023-08-14","21jGcNKet2qwijlDFuPiPb","Republic Records","8B","","https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02","Moderate Popularity",31
"Take Me To Church","Hozier",1,2013,9,13,23804,31,"2135158446",187,99,"4,623",1,"0",129,"E","Minor",57,41,66,63,0,12,5,"419","85","129","irish singer-songwriter, modern rock, pop, pov: indie","Folk/Acoustic, Rock, Pop","Hozier","2014-07-20","04:01","57","66","63","0","44","0","10","-5","E Minor","4","2023-08-14","3dYD57lRAUcMHufyqn9GcI","Universal-Island Records Ltd.","9A","","https://i.scdn.co/image/ab67616d000048517a9bf5f82e32d33d4503fe7b","Moderate Popularity",44
"Efecto","Bad Bunny",1,2022,5,6,4004,33,"1047480053",34,65,"43",6,"2",98,"G","Minor",80,23,48,14,0,6,5,"13","88","98","reggaeton, trap latino, urbano latino","Latin","Un Verano Sin Ti","2022-05-06","03:33","80","48","14","0","23","0","0","-9","G Minor","4","2023-08-14","5Eax0qFko2dh7Rl2lYs3bx","Rimas Entertainment LLC","6A","https://p.scdn.co/mp3-preview/a622a47c8df98ef72676608511c0b2e1d5d51268?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72","Low Popularity",35
"Until I Found You","Stephen Sanchez",1,2021,9,1,4427,4,"726434358",69,100,"154",20,"438",202,"A#","Major",34,25,51,69,0,18,4,"47","84","101","gen z singer-songwriter","","Until I Found You","2021-09-01","02:57","54","51","73","0","23","0","10","-6","A#/B♭ Major","3","2023-08-14","0T5iIrXA4p5GsubkhuBIKV","Republic Records","6B","","https://i.scdn.co/image/ab67616d000048518792c3e96f8ab97a767c5d0c","Moderate Popularity",41
"Easy On Me","Adele",1,2021,10,14,10195,20,"1406111294",258,87,"657",22,"9",142,"F","Major",60,13,37,58,0,13,3,"18","84","142","british soul, pop, pop soul, uk pop","R&B, Pop","Easy On Me","2021-10-14","03:44","60","37","58","0","13","0","10","-8","F Major","4","2023-08-14","0gplL1WMoJ6iYaPgMCL0gX","Columbia","7B","https://p.scdn.co/mp3-preview/a0cd8077c79a4aa3dcaa68bbc5ecdeda46e8d13f?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485150dba34377a595e35f81b0e4","Low Popularity",43
"The Real Slim Shady","Eminem",1,2000,1,1,20763,27,"1424589568",81,53,"3,271",1,"17",104,"F","Minor",95,78,66,3,0,4,6,"1547","88","105","detroit hip hop, hip hop, rap","Hip Hop","The Marshall Mathers LP","2000-05-23","04:44","95","66","3","0","76","0","0","-4","F Minor","4","2023-08-14","3yfqSUWxFvZELEM4PmlwIR","Interscope","4A","","https://i.scdn.co/image/ab67616d00004851dbb3dd82da45b7d7f31b1b42","Low Popularity",27
"Glimpse of Us","Joji",1,2022,6,10,6330,6,"988515741",109,42,"158",3,"31",170,"G#","Major",44,27,32,89,0,14,5,"15","85","170","viral pop","Pop","Glimpse of Us","2022-06-10","03:53","44","32","89","0","27","0","10","-9","G#/A♭ Major","3","2023-08-14","6xGruZOHLs39ZbVccQTuPZ","88rising Music/Warner Records","4B","https://p.scdn.co/mp3-preview/12e4a7ef3f1051424e6e282dfba83fe8448e122f?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485108596cc28b9f5b00bfe08ae7","Moderate Popularity",17
"Shivers","Ed Sheeran",1,2021,9,9,10147,30,"1302184087",234,71,"543",18,"",141,"D","Major",79,82,86,28,0,4,9,"17","87","141","pop, singer-songwriter pop, uk pop","Pop","=","2021-10-29","03:27","79","86","28","0","82","0","0","-3","D Major","4","2023-08-14","50nfwKoDiSYg8zOCREWAm5","Atlantic Records UK","10B","https://p.scdn.co/mp3-preview/08cec59d36ac30ae9ce1e2944f206251859844af?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851ef24c3fdbf856340d55cfeb2","Low Popularity",40
"Call Out My Name","The Weeknd",1,2018,3,29,11087,6,"1449799467",151,107,"801",1,"105",134,"C#","Major",45,17,60,21,0,33,4,"277","88","134","canadian contemporary r&b, canadian pop, pop","R&B, Pop","My Dear Melancholy,","2018-03-30","03:48","46","59","17","0","18","0","30","-5","C♯/D♭ Major","3","2023-08-14","09mEdoA6zrmBPgTEN5qXmN","Universal Republic Records","3B","","https://i.scdn.co/image/ab67616d000048511f6a2a40bb692936879db730","Low Popularity",38
"Late Night Talking","Harry Styles",1,2022,5,20,7461,8,"743693613",166,42,"199",16,"58",115,"A#","Major",71,90,73,30,0,11,5,"46","87","115","pop","Pop","Harry's House","2022-05-20","02:57","71","73","30","0","90","0","10","-5","A#/B♭ Major","4","2023-08-14","1qEmFfgcLObUfQm0j1W2CK","Columbia","6B","https://p.scdn.co/mp3-preview/50f056e2ab4a1bef762661dbbf2da751beeffe39?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048512e8ed79e177ff6011076f5f0","Moderate Popularity",22
"I Love You So","The Walters",1,2014,11,28,7536,7,"972164968",44,19,"135",0,"6",76,"A#","Major",58,46,67,65,0,13,4,"40","88","76","chicago indie, pov: indie","Rock, Pop","I Love You So","2014-11-28","02:40","57","65","58","0","47","0","10","-5","A#/B♭ Major","4","2023-08-14","4SqWKzw0CbA05TGszDgMlc","Warner Records","6B","https://p.scdn.co/mp3-preview/83919b3d62a4ae352229c0a779e8aa0c1b2f4f40?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048519214ff0109a0e062f8a6cf0f","Moderate Popularity",9
"The Hills","The Weeknd",1,2015,5,27,25744,4,"1947371785",122,94,"1,992",0,"18",136,"","Minor",36,12,57,9,0,14,8,"462","88","113","canadian contemporary r&b, canadian pop, pop","R&B, Pop","Beauty Behind The Madness","2015-08-28","04:02","59","56","7","0","14","0","10","-7","C Minor","4","2023-08-14","7fBv7CLKzipRk6EC6TWHOB","Universal Republic Records","5A","","https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b","Low Popularity",33
"Numb","Linkin Park",1,2003,3,24,20111,5,"1361425037",39,0,"7,341",0,"0",110,"A","Major",50,24,86,0,0,64,4,"1169","87","110","alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock","Meteora","2003-03-24","03:05","50","86","0","0","24","0","60","-4","A Major","4","2023-08-14","2nLtzopw4rPReszdYBJU6h","Warner Records","11B","https://p.scdn.co/mp3-preview/15e1178c9eb7f626ac1112ad8f56eccbec2cd6e5?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851b4ad7ebaf4575f120eb3f193","Low Popularity",2
"About Damn Time","Lizzo",1,2022,7,15,2332,2,"723894473",0,0,"25",0,"0",109,"A#","Minor",84,72,74,10,0,34,7,"34","80","109","escape room, minnesota hip hop, pop, trap queen","Pop, Hip Hop, R&B","About Damn Time","2022-04-14","03:11","84","74","10","0","72","0","30","-6","A#/B♭ Minor","4","2023-08-14","1PckUlxKqWQs3RlWXVBLw3","Nice Life/Atlantic","3A","https://p.scdn.co/mp3-preview/bbf8a26d38f7d8c7191dd64bd7c21a4cec8b61a0?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851b817e721691aff3d67f26c04","Moderate Popularity",1
"Moscow Mule","Bad Bunny",1,2022,5,6,4572,33,"909001996",74,113,"85",9,"2",100,"F","Minor",80,29,67,29,0,12,3,"16","86","100","reggaeton, trap latino, urbano latino","Latin","Un Verano Sin Ti","2022-05-06","04:05","80","67","29","0","29","0","10","-5","F Minor","4","2023-08-14","6Xom58OOXk2SoU711L2IXO","Rimas Entertainment LLC","4A","https://p.scdn.co/mp3-preview/77b12f38abcff65705166d67b5657f70cd890635?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72","Moderate Popularity",52
"Don't Start Now","Dua Lipa",1,2019,10,31,27119,0,"2303033973",532,77,"1,535",3,"8",124,"B","Minor",79,68,79,1,0,10,8,"54","84","124","dance pop, pop, uk pop","Pop","Future Nostalgia","2020-03-27","03:03","79","79","1","0","68","0","10","-5","B Minor","4","2023-08-14","3PfIrDoz19wz7qK7tYeu62","Warner Records","10A","https://p.scdn.co/mp3-preview/cfc6684fc467e40bb9c7e6da2ea1b22eeccb211c?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d00004851bd26ede1ae69327010d49946","Moderate Popularity",27
"Don't Start Now","Dua Lipa",1,2019,10,31,27119,0,"2303033973",532,77,"1,535",3,"8",124,"B","Minor",79,68,79,1,0,10,8,"118","79","124","dance pop, pop, uk pop","Pop","Don't Start Now","2019-10-31","03:03","79","79","1","0","68","0","10","-5","B Minor","4","2023-08-14","6WrI0LAC5M1Rw2MnX2ZvEg","Warner Records","10A","https://p.scdn.co/mp3-preview/87258da8a9eb8d0a0d53071e06612955e6d3b28f?cid=0dd13485836e45ac9134860ee53d835f","https://i.scdn.co/image/ab67616d000048518583df1a14bea9175f9ac520","Moderate Popularity",27
